,preprocessing,dimred,n_components,n_neighbors,min_dist,perplexity,clustering,k,silhouette,stability_ari
0,raw,pca,2,,,,kmeans,3,0.4867668077821257,0.9875500306002394
1,raw,pca,2,,,,kmeans,4,0.49937345938403105,0.9991772091805686
2,raw,pca,2,,,,kmeans,5,0.5449981339516393,0.9992223863371679
3,raw,pca,2,,,,gmm,3,0.44787034453387903,0.8016047322938544
4,raw,pca,2,,,,gmm,4,0.38533673601712615,0.5725643258360672
5,raw,pca,2,,,,gmm,5,0.4120781988225949,0.9027735230447125
6,raw,pca,2,,,,hierarchical,3,0.5966355622425478,0.9256359485443574
7,raw,pca,2,,,,hierarchical,4,0.45839177857028013,0.6865060406368283
8,raw,pca,2,,,,hierarchical,5,0.5134486375303687,0.8849423266629663
9,raw,pca,3,,,,kmeans,3,0.43682090113568883,0.9944818248663758
10,raw,pca,3,,,,kmeans,4,0.4439207757237892,0.9971953650862929
11,raw,pca,3,,,,kmeans,5,0.4798516073312048,0.9972035614686008
12,raw,pca,3,,,,gmm,3,0.42410538015988486,0.8934186633461739
13,raw,pca,3,,,,gmm,4,0.35090110679848735,0.6817955546497997
14,raw,pca,3,,,,gmm,5,0.36178207201046503,0.9062311688526101
15,raw,pca,3,,,,hierarchical,3,0.42475662388465846,0.9998200735013573
16,raw,pca,3,,,,hierarchical,4,0.4407060364334175,0.9939547290709783
17,raw,pca,3,,,,hierarchical,5,0.47884439064692225,0.9916979267076169
18,raw,pca,5,,,,kmeans,3,0.4343523622373894,0.9894118070548104
19,raw,pca,5,,,,kmeans,4,0.4414059918370302,0.9976426384427604
20,raw,pca,5,,,,kmeans,5,0.47596419404025175,0.9848829165467105
21,raw,pca,5,,,,gmm,3,0.41885490134888076,0.9642294350563195
22,raw,pca,5,,,,gmm,4,0.4033714650458251,0.8424404881826321
23,raw,pca,5,,,,gmm,5,0.3796659915880618,0.9343460019764911
24,raw,pca,5,,,,hierarchical,3,0.4220455889161427,0.9979246629969615
25,raw,pca,5,,,,hierarchical,4,0.4376570926760769,0.9932881816903651
26,raw,pca,5,,,,hierarchical,5,0.47525709835127034,0.9902223836853418
27,raw,pca,10,,,,kmeans,3,0.43321615650637035,0.9920527885128854
28,raw,pca,10,,,,kmeans,4,0.4400739819701945,0.996969443776442
29,raw,pca,10,,,,kmeans,5,0.4744314519133839,0.982119043186911
30,raw,pca,10,,,,gmm,3,0.41977530040263894,0.8360228462705774
31,raw,pca,10,,,,gmm,4,0.40500331144498314,0.7282246014866126
32,raw,pca,10,,,,gmm,5,0.3370600355877827,0.889830570772719
33,raw,pca,10,,,,hierarchical,3,0.42084502647162597,0.992676951221294
34,raw,pca,10,,,,hierarchical,4,0.4362794746870935,0.9941115555497667
35,raw,pca,10,,,,hierarchical,5,0.4735129726894411,0.9830756900614955
36,raw,umap,2,5.0,0.0,,kmeans,3,0.3861979842185974,0.9662735862572638
37,raw,umap,2,5.0,0.0,,kmeans,4,0.37979742884635925,0.9896067542903482
38,raw,umap,2,5.0,0.0,,kmeans,5,0.36394524574279785,0.9767655493600875
39,raw,umap,2,5.0,0.0,,gmm,3,0.35879257321357727,0.3214037124208646
40,raw,umap,2,5.0,0.0,,gmm,4,0.36386141180992126,0.564929208722312
41,raw,umap,2,5.0,0.0,,gmm,5,0.35891586542129517,0.630327458322444
42,raw,umap,2,5.0,0.0,,hierarchical,3,0.342568576335907,0.6446857121094556
43,raw,umap,2,5.0,0.0,,hierarchical,4,0.31761616468429565,0.5278577454920914
44,raw,umap,2,5.0,0.0,,hierarchical,5,0.321267306804657,0.608688696948912
45,raw,umap,2,5.0,0.1,,kmeans,3,0.37478137016296387,0.8989504409188682
46,raw,umap,2,5.0,0.1,,kmeans,4,0.37032538652420044,0.8972269226101792
47,raw,umap,2,5.0,0.1,,kmeans,5,0.3606203496456146,0.7959518436242583
48,raw,umap,2,5.0,0.1,,gmm,3,0.37342414259910583,0.5871548061461429
49,raw,umap,2,5.0,0.1,,gmm,4,0.36106863617897034,0.5112793056509705
50,raw,umap,2,5.0,0.1,,gmm,5,0.3479737639427185,0.6780093058824399
51,raw,umap,2,5.0,0.1,,hierarchical,3,0.3322872817516327,0.45018872109878644
52,raw,umap,2,5.0,0.1,,hierarchical,4,0.315803200006485,0.540085342734854
53,raw,umap,2,5.0,0.1,,hierarchical,5,0.2988184094429016,0.6693177105677459
54,raw,umap,2,5.0,0.5,,kmeans,3,0.3905774652957916,0.9881808129391477
55,raw,umap,2,5.0,0.5,,kmeans,4,0.3625480532646179,0.9517671241705622
56,raw,umap,2,5.0,0.5,,kmeans,5,0.3453129827976227,0.9562660026476165
57,raw,umap,2,5.0,0.5,,gmm,3,0.3905330300331116,0.9281155004059295
58,raw,umap,2,5.0,0.5,,gmm,4,0.3506711423397064,0.4955582357483834
59,raw,umap,2,5.0,0.5,,gmm,5,0.3314935266971588,0.6123333314707105
60,raw,umap,2,5.0,0.5,,hierarchical,3,0.3657851219177246,0.48077806421804625
61,raw,umap,2,5.0,0.5,,hierarchical,4,0.3111205995082855,0.49086289752398093
62,raw,umap,2,5.0,0.5,,hierarchical,5,0.31459277868270874,0.44277782077217703
63,raw,umap,2,15.0,0.0,,kmeans,3,0.4480437636375427,0.8451643836801
64,raw,umap,2,15.0,0.0,,kmeans,4,0.4530393183231354,0.9970210827258664
65,raw,umap,2,15.0,0.0,,kmeans,5,0.44984322786331177,1.0
66,raw,umap,2,15.0,0.0,,gmm,3,0.4412669837474823,0.8068286627136481
67,raw,umap,2,15.0,0.0,,gmm,4,0.4146950840950012,0.5412313372517034
68,raw,umap,2,15.0,0.0,,gmm,5,0.4468615651130676,0.7568993285858974
69,raw,umap,2,15.0,0.0,,hierarchical,3,0.3960301876068115,0.9587815732956072
70,raw,umap,2,15.0,0.0,,hierarchical,4,0.4336744248867035,0.9961505585750501
71,raw,umap,2,15.0,0.0,,hierarchical,5,0.43987053632736206,0.9892818819509311
72,raw,umap,2,15.0,0.1,,kmeans,3,0.41523829102516174,0.9743126860886453
73,raw,umap,2,15.0,0.1,,kmeans,4,0.4350658357143402,0.9927778650016363
74,raw,umap,2,15.0,0.1,,kmeans,5,0.42877233028411865,0.9772920235479912
75,raw,umap,2,15.0,0.1,,gmm,3,0.38873204588890076,0.6631230273103074
76,raw,umap,2,15.0,0.1,,gmm,4,0.41368216276168823,0.8330493973491271
77,raw,umap,2,15.0,0.1,,gmm,5,0.36872872710227966,0.7139737652016974
78,raw,umap,2,15.0,0.1,,hierarchical,3,0.39009860157966614,0.9675896474293278
79,raw,umap,2,15.0,0.1,,hierarchical,4,0.3841541111469269,0.8021048310987703
80,raw,umap,2,15.0,0.1,,hierarchical,5,0.40305861830711365,0.9911522766486681
81,raw,umap,2,15.0,0.5,,kmeans,3,0.41880613565444946,0.9922263804618829
82,raw,umap,2,15.0,0.5,,kmeans,4,0.4100308120250702,0.9568624502590077
83,raw,umap,2,15.0,0.5,,kmeans,5,0.40654104948043823,0.9929126306868394
84,raw,umap,2,15.0,0.5,,gmm,3,0.37971213459968567,0.9647483790339259
85,raw,umap,2,15.0,0.5,,gmm,4,0.35553979873657227,0.5792404850321846
86,raw,umap,2,15.0,0.5,,gmm,5,0.3714289963245392,0.5486391356300263
87,raw,umap,2,15.0,0.5,,hierarchical,3,0.40783387422561646,0.841099948399509
88,raw,umap,2,15.0,0.5,,hierarchical,4,0.3995357155799866,0.8241797281789558
89,raw,umap,2,15.0,0.5,,hierarchical,5,0.38779884576797485,0.8385165415729161
90,raw,umap,2,30.0,0.0,,kmeans,3,0.4611019790172577,0.999566844820724
91,raw,umap,2,30.0,0.0,,kmeans,4,0.4539792239665985,0.9949638774242645
92,raw,umap,2,30.0,0.0,,kmeans,5,0.45946210622787476,0.9975349426826482
93,raw,umap,2,30.0,0.0,,gmm,3,0.42042455077171326,0.8921158254040239
94,raw,umap,2,30.0,0.0,,gmm,4,0.39320969581604004,0.6742188240501227
95,raw,umap,2,30.0,0.0,,gmm,5,0.45917701721191406,0.684619928918481
96,raw,umap,2,30.0,0.0,,hierarchical,3,0.42662671208381653,0.9129027664560582
97,raw,umap,2,30.0,0.0,,hierarchical,4,0.4593481719493866,0.9356502253972251
98,raw,umap,2,30.0,0.0,,hierarchical,5,0.4765821099281311,0.9835701090016168
99,raw,umap,2,30.0,0.1,,kmeans,3,0.47686636447906494,0.9987715783483141
100,raw,umap,2,30.0,0.1,,kmeans,4,0.46661439538002014,0.9915126088508253
101,raw,umap,2,30.0,0.1,,kmeans,5,0.4864361584186554,0.9901053358725573
102,raw,umap,2,30.0,0.1,,gmm,3,0.47213736176490784,0.7267491872035987
103,raw,umap,2,30.0,0.1,,gmm,4,0.29658952355384827,0.483684695756327
104,raw,umap,2,30.0,0.1,,gmm,5,0.48580077290534973,0.913572682921701
105,raw,umap,2,30.0,0.1,,hierarchical,3,0.43217992782592773,0.9914588706365435
106,raw,umap,2,30.0,0.1,,hierarchical,4,0.46812722086906433,0.9958275843020877
107,raw,umap,2,30.0,0.1,,hierarchical,5,0.4579600989818573,0.9933129798109677
108,raw,umap,2,30.0,0.5,,kmeans,3,0.4433220624923706,0.9936619221362061
109,raw,umap,2,30.0,0.5,,kmeans,4,0.45583856105804443,0.9942012001761233
110,raw,umap,2,30.0,0.5,,kmeans,5,0.46083691716194153,0.9967829076742518
111,raw,umap,2,30.0,0.5,,gmm,3,0.4319950342178345,0.9610516480829738
112,raw,umap,2,30.0,0.5,,gmm,4,0.4083962142467499,0.8128673884684148
113,raw,umap,2,30.0,0.5,,gmm,5,0.4438224136829376,0.6664314720441556
114,raw,umap,2,30.0,0.5,,hierarchical,3,0.42385321855545044,0.929227346232771
115,raw,umap,2,30.0,0.5,,hierarchical,4,0.4201260209083557,0.8934780430468031
116,raw,umap,2,30.0,0.5,,hierarchical,5,0.4073024392127991,0.8703946819064551
117,raw,umap,3,5.0,0.0,,kmeans,3,0.32045572996139526,0.9941791792865771
118,raw,umap,3,5.0,0.0,,kmeans,4,0.34731602668762207,0.9965520483477625
119,raw,umap,3,5.0,0.0,,kmeans,5,0.3469958007335663,0.9080528686825319
120,raw,umap,3,5.0,0.0,,gmm,3,0.3133332133293152,0.8852065665855765
121,raw,umap,3,5.0,0.0,,gmm,4,0.3328916132450104,0.791255602823336
122,raw,umap,3,5.0,0.0,,gmm,5,0.31917765736579895,0.678675084990106
123,raw,umap,3,5.0,0.0,,hierarchical,3,0.271866112947464,0.8706521549232934
124,raw,umap,3,5.0,0.0,,hierarchical,4,0.3269805908203125,0.9325145475020594
125,raw,umap,3,5.0,0.0,,hierarchical,5,0.33291491866111755,0.9148068692991077
126,raw,umap,3,5.0,0.1,,kmeans,3,0.2725849449634552,0.8413607099029253
127,raw,umap,3,5.0,0.1,,kmeans,4,0.29658830165863037,0.7960610170268432
128,raw,umap,3,5.0,0.1,,kmeans,5,0.29939669370651245,0.5247282978819099
129,raw,umap,3,5.0,0.1,,gmm,3,0.26785069704055786,0.31901199584936896
130,raw,umap,3,5.0,0.1,,gmm,4,0.2827545404434204,0.43235523770518547
131,raw,umap,3,5.0,0.1,,gmm,5,0.25462859869003296,0.44920793479733645
132,raw,umap,3,5.0,0.1,,hierarchical,3,0.23972654342651367,0.6613546137508866
133,raw,umap,3,5.0,0.1,,hierarchical,4,0.23570631444454193,0.6489813283283182
134,raw,umap,3,5.0,0.1,,hierarchical,5,0.24891255795955658,0.7352731156407915
135,raw,umap,3,5.0,0.5,,kmeans,3,0.28666573762893677,0.9198229488062677
136,raw,umap,3,5.0,0.5,,kmeans,4,0.2893995940685272,0.9606993077657126
137,raw,umap,3,5.0,0.5,,kmeans,5,0.27871590852737427,0.8560547303762769
138,raw,umap,3,5.0,0.5,,gmm,3,0.27257639169692993,0.6434431597215513
139,raw,umap,3,5.0,0.5,,gmm,4,0.2813397943973541,0.760095396269405
140,raw,umap,3,5.0,0.5,,gmm,5,0.2680528163909912,0.4201384936070095
141,raw,umap,3,5.0,0.5,,hierarchical,3,0.23728737235069275,0.36151269761989097
142,raw,umap,3,5.0,0.5,,hierarchical,4,0.23248103260993958,0.6052329438025759
143,raw,umap,3,5.0,0.5,,hierarchical,5,0.23088596761226654,0.6252986155786515
144,raw,umap,3,15.0,0.0,,kmeans,3,0.4049712121486664,0.9938318382895911
145,raw,umap,3,15.0,0.0,,kmeans,4,0.4568687379360199,0.9983869079316386
146,raw,umap,3,15.0,0.0,,kmeans,5,0.4522237777709961,0.9999791328885924
147,raw,umap,3,15.0,0.0,,gmm,3,0.40431514382362366,0.7285087094862699
148,raw,umap,3,15.0,0.0,,gmm,4,0.4317840039730072,0.7868876269478099
149,raw,umap,3,15.0,0.0,,gmm,5,0.4005716145038605,0.701330347411118
150,raw,umap,3,15.0,0.0,,hierarchical,3,0.3927153944969177,1.0
151,raw,umap,3,15.0,0.0,,hierarchical,4,0.4272367060184479,0.9950084571696337
152,raw,umap,3,15.0,0.0,,hierarchical,5,0.452388733625412,0.9881536757029241
153,raw,umap,3,15.0,0.1,,kmeans,3,0.40052422881126404,0.9852682605272747
154,raw,umap,3,15.0,0.1,,kmeans,4,0.44529980421066284,0.9883135218928362
155,raw,umap,3,15.0,0.1,,kmeans,5,0.44681787490844727,0.5950245357138886
156,raw,umap,3,15.0,0.1,,gmm,3,0.39701318740844727,0.709984384983779
157,raw,umap,3,15.0,0.1,,gmm,4,0.4446781575679779,0.8454450272478753
158,raw,umap,3,15.0,0.1,,gmm,5,0.4409435987472534,0.7158321071278939
159,raw,umap,3,15.0,0.1,,hierarchical,3,0.3631783425807953,0.934237199589586
160,raw,umap,3,15.0,0.1,,hierarchical,4,0.4226306974887848,0.908436393680281
161,raw,umap,3,15.0,0.1,,hierarchical,5,0.41693025827407837,0.8751697880991895
162,raw,umap,3,15.0,0.5,,kmeans,3,0.3528360426425934,0.9779932740918764
163,raw,umap,3,15.0,0.5,,kmeans,4,0.3960553705692291,0.9618478993109092
164,raw,umap,3,15.0,0.5,,kmeans,5,0.37476488947868347,0.9823680322082088
165,raw,umap,3,15.0,0.5,,gmm,3,0.3524297773838043,0.722851080361681
166,raw,umap,3,15.0,0.5,,gmm,4,0.3241475224494934,0.5740032325327529
167,raw,umap,3,15.0,0.5,,gmm,5,0.355068564414978,0.6691706820262149
168,raw,umap,3,15.0,0.5,,hierarchical,3,0.3417246639728546,0.7906707718481261
169,raw,umap,3,15.0,0.5,,hierarchical,4,0.3667294979095459,0.9331939365355422
170,raw,umap,3,15.0,0.5,,hierarchical,5,0.3704923391342163,0.8136241606709895
171,raw,umap,3,30.0,0.0,,kmeans,3,0.42685845494270325,0.9613458097646308
172,raw,umap,3,30.0,0.0,,kmeans,4,0.48573893308639526,1.0
173,raw,umap,3,30.0,0.0,,kmeans,5,0.49055665731430054,0.9993892393690337
174,raw,umap,3,30.0,0.0,,gmm,3,0.42003464698791504,0.5958235254730574
175,raw,umap,3,30.0,0.0,,gmm,4,0.44847553968429565,0.7875687512263981
176,raw,umap,3,30.0,0.0,,gmm,5,0.4785129725933075,0.7210959569690946
177,raw,umap,3,30.0,0.0,,hierarchical,3,0.40510833263397217,0.885602916227247
178,raw,umap,3,30.0,0.0,,hierarchical,4,0.47881901264190674,0.9308899369775122
179,raw,umap,3,30.0,0.0,,hierarchical,5,0.4650363326072693,0.846588374236957
180,raw,umap,3,30.0,0.1,,kmeans,3,0.4169429540634155,0.9889133151874576
181,raw,umap,3,30.0,0.1,,kmeans,4,0.48039671778678894,0.9986785895893567
182,raw,umap,3,30.0,0.1,,kmeans,5,0.4694882333278656,0.8806979244990305
183,raw,umap,3,30.0,0.1,,gmm,3,0.4144603908061981,0.668833354707028
184,raw,umap,3,30.0,0.1,,gmm,4,0.4738711416721344,0.850510496874118
185,raw,umap,3,30.0,0.1,,gmm,5,0.493222177028656,0.8006715331782136
186,raw,umap,3,30.0,0.1,,hierarchical,3,0.3847622573375702,0.7996481562428989
187,raw,umap,3,30.0,0.1,,hierarchical,4,0.45377159118652344,0.9871895432837121
188,raw,umap,3,30.0,0.1,,hierarchical,5,0.47543853521347046,0.8991203979815606
189,raw,umap,3,30.0,0.5,,kmeans,3,0.38070347905158997,0.9981106979958689
190,raw,umap,3,30.0,0.5,,kmeans,4,0.42759332060813904,0.9979736386278097
191,raw,umap,3,30.0,0.5,,kmeans,5,0.4451676905155182,0.8552733774220119
192,raw,umap,3,30.0,0.5,,gmm,3,0.36418184638023376,0.464439796052642
193,raw,umap,3,30.0,0.5,,gmm,4,0.41396379470825195,0.6591804773996397
194,raw,umap,3,30.0,0.5,,gmm,5,0.42729562520980835,0.6580990651437472
195,raw,umap,3,30.0,0.5,,hierarchical,3,0.35003775358200073,0.6801230299617133
196,raw,umap,3,30.0,0.5,,hierarchical,4,0.4037279486656189,0.8436189610381679
197,raw,umap,3,30.0,0.5,,hierarchical,5,0.4333589971065521,0.8378466323031141
198,raw,umap,5,5.0,0.0,,kmeans,3,0.23822329938411713,0.7803326223809521
199,raw,umap,5,5.0,0.0,,kmeans,4,0.2903945744037628,0.929129955986873
200,raw,umap,5,5.0,0.0,,kmeans,5,0.32042667269706726,0.9534396456014176
201,raw,umap,5,5.0,0.0,,gmm,3,0.22927847504615784,0.28137689458651344
202,raw,umap,5,5.0,0.0,,gmm,4,0.2585013806819916,0.41283948890340577
203,raw,umap,5,5.0,0.0,,gmm,5,0.30369681119918823,0.76924200222257
204,raw,umap,5,5.0,0.0,,hierarchical,3,0.22039343416690826,0.8792947635575437
205,raw,umap,5,5.0,0.0,,hierarchical,4,0.27112939953804016,0.8765587091221221
206,raw,umap,5,5.0,0.0,,hierarchical,5,0.3114677667617798,0.9043811193431093
207,raw,umap,5,5.0,0.1,,kmeans,3,0.2425527423620224,0.9775813529169929
208,raw,umap,5,5.0,0.1,,kmeans,4,0.24684424698352814,0.7258260611223959
209,raw,umap,5,5.0,0.1,,kmeans,5,0.2732395529747009,0.9193051360074561
210,raw,umap,5,5.0,0.1,,gmm,3,0.2251482903957367,0.4943391299344224
211,raw,umap,5,5.0,0.1,,gmm,4,0.23022250831127167,0.4793459462437832
212,raw,umap,5,5.0,0.1,,gmm,5,0.1917564868927002,0.40730075650303327
213,raw,umap,5,5.0,0.1,,hierarchical,3,0.2016492784023285,0.5849625759705597
214,raw,umap,5,5.0,0.1,,hierarchical,4,0.24030040204524994,0.6756090344235396
215,raw,umap,5,5.0,0.1,,hierarchical,5,0.25769156217575073,0.7202476509208942
216,raw,umap,5,5.0,0.5,,kmeans,3,0.2091676890850067,0.9856526836907525
217,raw,umap,5,5.0,0.5,,kmeans,4,0.2395973950624466,0.9870787661216432
218,raw,umap,5,5.0,0.5,,kmeans,5,0.24819454550743103,0.8771838598308925
219,raw,umap,5,5.0,0.5,,gmm,3,0.19676744937896729,0.5082782095146053
220,raw,umap,5,5.0,0.5,,gmm,4,0.2340545952320099,0.5232667359887908
221,raw,umap,5,5.0,0.5,,gmm,5,0.22276635468006134,0.5014823715817047
222,raw,umap,5,5.0,0.5,,hierarchical,3,0.18612763285636902,0.5336764873775615
223,raw,umap,5,5.0,0.5,,hierarchical,4,0.19875328242778778,0.5082000248392959
224,raw,umap,5,5.0,0.5,,hierarchical,5,0.22041337192058563,0.5926620174829412
225,raw,umap,5,15.0,0.0,,kmeans,3,0.3393835723400116,0.8990540628785599
226,raw,umap,5,15.0,0.0,,kmeans,4,0.3964586555957794,0.9992539017053804
227,raw,umap,5,15.0,0.0,,kmeans,5,0.4320649206638336,0.9954759119310578
228,raw,umap,5,15.0,0.0,,gmm,3,0.3165186643600464,0.5749350909646977
229,raw,umap,5,15.0,0.0,,gmm,4,0.34552720189094543,0.47545991087845485
230,raw,umap,5,15.0,0.0,,gmm,5,0.40988168120384216,0.5708549071466799
231,raw,umap,5,15.0,0.0,,hierarchical,3,0.3081269860267639,0.5839411176077948
232,raw,umap,5,15.0,0.0,,hierarchical,4,0.34850987792015076,0.7986689417763837
233,raw,umap,5,15.0,0.0,,hierarchical,5,0.40184286236763,0.815872611499334
234,raw,umap,5,15.0,0.1,,kmeans,3,0.3344706892967224,0.8934158404913219
235,raw,umap,5,15.0,0.1,,kmeans,4,0.38700437545776367,0.9973125919175366
236,raw,umap,5,15.0,0.1,,kmeans,5,0.4281071126461029,0.9966138784323212
237,raw,umap,5,15.0,0.1,,gmm,3,0.3246239721775055,0.5102659986068733
238,raw,umap,5,15.0,0.1,,gmm,4,0.35715779662132263,0.5036433607183596
239,raw,umap,5,15.0,0.1,,gmm,5,0.40487200021743774,0.6806308833675451
240,raw,umap,5,15.0,0.1,,hierarchical,3,0.33025720715522766,0.8270228014197092
241,raw,umap,5,15.0,0.1,,hierarchical,4,0.3877543807029724,0.8372484416251942
242,raw,umap,5,15.0,0.1,,hierarchical,5,0.4091803729534149,0.8825206703999606
243,raw,umap,5,15.0,0.5,,kmeans,3,0.2853039503097534,0.9657091215130024
244,raw,umap,5,15.0,0.5,,kmeans,4,0.3619863986968994,0.9969129268513066
245,raw,umap,5,15.0,0.5,,kmeans,5,0.38875171542167664,0.9980258917898237
246,raw,umap,5,15.0,0.5,,gmm,3,0.28581541776657104,0.5464659434705657
247,raw,umap,5,15.0,0.5,,gmm,4,0.2963655889034271,0.5412467040476632
248,raw,umap,5,15.0,0.5,,gmm,5,0.34391772747039795,0.560260832239551
249,raw,umap,5,15.0,0.5,,hierarchical,3,0.27685102820396423,0.6121807382323575
250,raw,umap,5,15.0,0.5,,hierarchical,4,0.33268168568611145,0.7299498893313638
251,raw,umap,5,15.0,0.5,,hierarchical,5,0.34472212195396423,0.8704710841762272
252,raw,umap,5,30.0,0.0,,kmeans,3,0.38715654611587524,0.9452080302817347
253,raw,umap,5,30.0,0.0,,kmeans,4,0.4288008213043213,0.9344423497849076
254,raw,umap,5,30.0,0.0,,kmeans,5,0.47629621624946594,0.9973306584160251
255,raw,umap,5,30.0,0.0,,gmm,3,0.3502945303916931,0.6183045417144509
256,raw,umap,5,30.0,0.0,,gmm,4,0.379965603351593,0.6088755415985355
257,raw,umap,5,30.0,0.0,,gmm,5,0.46392822265625,0.5956663171250995
258,raw,umap,5,30.0,0.0,,hierarchical,3,0.3797343969345093,0.9336667002607265
259,raw,umap,5,30.0,0.0,,hierarchical,4,0.4171474575996399,0.907602333943494
260,raw,umap,5,30.0,0.0,,hierarchical,5,0.4457486569881439,0.8333758859749903
261,raw,umap,5,30.0,0.1,,kmeans,3,0.37832507491111755,0.9744185265830655
262,raw,umap,5,30.0,0.1,,kmeans,4,0.44149717688560486,0.8381114237627796
